"Word","Pinyin","OtherPinyin","Level","First Translation","Other Translations"
"我","wǒ","","1","I","me, my"
"你","nǐ","","1","you (informal, as opposed to courteous 您[nin2])",""
"他","tā","","1","he or him","(used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another"
"我們","wǒmen","","1","we","us, ourselves, our"
"你們","nǐmen","","1","you (plural)",""
"他們","tāmen","","1","they",""
"您","nín","","1","you (courteous, as opposed to informal 你[ni3])",""
"誰","shéi","","1","who","also pr. [shui2]"
"人","rén","","1","man","person, people, CL:個|个[ge4],位[wei4]"
"中國","zhōngguó","","1","China",""
"美國","měiguó","","1","United States","USA, US"
"日本","rìběn","","1","Japan","Japanese"
"台灣","táiwān","","1","variant of 臺灣|台湾[Tai2 wan1]",""
"名字","míngzi","","1","name (of a person or thing)","CL:個|个[ge4]"
"家","jiā","","1","home","family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, see 傢伙|家伙[jia1 huo5], surname Jia, CL:個|个[ge4]"
"電話","diànhuà","","1","telephone","phone call, phone number, CL:部[bu4], CL:通[tong1]"
"現在","xiànzài","","1","now","at present, at the moment, modern, current, nowadays"
"今年","jīnnián","","1","this year",""
"今天","jīntiān","","1","today","at the present, now"
"明天","míngtiān","","1","tomorrow",""
"昨天","zuótiān","","1","yesterday",""
"早上","zǎoshang","","1","early morning","CL:個|个[ge4]"
"上午","shàngwǔ","","1","morning","CL:個|个[ge4]"
"中午","zhōngwǔ","","1","noon","midday, CL:個|个[ge4]"
"下午","xiàwǔ","","1","afternoon","p.m., CL:個|个[ge4]"
"晚上","wǎnshang","","1","evening","night, in the evening, CL:個|个[ge4]"
"一","yī","","1","one","1, single, a (article), as soon as, entire, whole, all, throughout, ""one"" radical in Chinese characters (Kangxi radical 1), also pr. [yao1] for greater clarity when spelling out numbers digit by digit"
"二","èr","","1","two","2, (Beijing dialect) stupid"
"三","sān","","1","three","3, surname San"
"四","sì","","1","four","4"
"五","wǔ","","1","five","5"
"六","liù","","1","six","6"
"七","qī","","1","seven","7"
"八","bā","","1","eight","8"
"九","jiǔ","","1","nine","9"
"十","shí","","1","ten","10"
"零","líng","","1","zero","nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither"
"兩","liǎng","","1","two","both, some, a few, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)"
"時候","shíhòu","","1","time","length of time, moment, period"
"百","bǎi","","1","hundred","numerous, all kinds of, surname Bai"
"半","bàn","","1","half","semi-, incomplete, (after a number) and a half"
"爸爸","bàba","","1","(informal) father","CL:個|个[ge4],位[wei4]"
"媽媽","māma","","1","mama","mommy, mother, CL:個|个[ge4],位[wei4]"
"哥哥","gēge","","1","older brother","CL:個|个[ge4],位[wei4]"
"弟弟","dìdi","","1","younger brother","CL:個|个[ge4],位[wei4]"
"姊姊","jiějie","","1","older sister","Taiwan pr. [jie3 jie5]"
"妹妹","mèimei","","1","younger sister","young woman, CL:個|个[ge4]"
"的","de","","1","of","~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis), really and truly, aim, clear, see 的士[di1 shi4]"
"第","dì","","1","(prefix indicating ordinal number, e.g. first, number two etc)","order, (old) rank in the imperial examinations, mansion, (literary) but, just"
"分","fēn","","1","to divide","to separate, to distribute, to allocate, to distinguish (good and bad), part or subdivision, fraction, one tenth (of certain units), unit of length equivalent to 0.33 cm, minute (unit of time), minute (angular measurement unit), a point (in sports or games), 0.01 yuan (unit of money), part, share, ingredient, component"
"點","diǎn","","1","point","dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[geng1], dot stroke in Chinese characters, classifier for items"
"個","ge","","1","individual","this, that, size, classifier for people or objects in general"
"歲","suì","","1","classifier for years (of age)","year, year (of crop harvests)"
"住","zhù","","1","to live","to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt)"
"來","lái","","1","to come","to arrive, to come round, ever since, next"
"是","shì","","1","is","are, am, yes, to be, (used in given names), variant of 是[shi4]"
"姓","xìng","","1","family name","surname, to be surnamed, CL:個|个[ge4]"
"覺得","juéde","","1","to think","to feel"
"喜歡","xǐhuān","","1","to like","to be fond of"
"打電話","dǎdiànhuà","","1","to make a telephone call",""
"高興","gāoxìng","","1","happy","glad, willing (to do sth), in a cheerful mood"
"漂亮","piàoliàng","","1","pretty","beautiful"
"好","hǎo","","1","good","well, proper, good to, easy to, very, so, (suffix indicating completion or readiness), (of two people) close, on intimate terms, (after a personal pronoun) hello, to be fond of, to have a tendency to, to be prone to"
"很","hěn","","1","(adverb of degree)","quite, very, awfully"
"真","zhēn","","1","really","truly, indeed, real, true, genuine"
"電腦","diànnǎo","","1","computer","CL:臺|台[tai2]"
"老師","lǎoshī","","1","teacher","CL:個|个[ge4],位[wei4]"
"買","mǎi","","1","to buy","to purchase"
"忙","máng","","1","busy","hurriedly, to hurry, to rush"
"學生","xuéshēng","","1","student","schoolchild"
"大學","dàxué","","1","the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism","university, college, CL:所[suo3]"
"學校","xuéxiào","","1","school","CL:所[suo3]"
"筆","bǐ","","1","pen","pencil, writing brush, to write or compose, the strokes of Chinese characters, classifier for sums of money, deals, CL:支[zhi1],枝[zhi1]"
"問","wèn","","1","to ask",""
"說","shuō","","1","to persuade","to speak, to say, to explain, to scold, to tell off, a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)"
"寫","xiě","","1","to write",""
"聽","tīng","","1","to listen","to hear, to obey, a can (loanword from English ""tin""), classifier for canned beverages, (literary pronunciation, still advocated in Taiwan) to rule, to sentence, to allow"
"練習","liànxí","","1","to practice","exercise, drill, practice, CL:個|个[ge4]"
"能","néng","","1","can","to be able to, might possibly, ability, (physics) energy, surname Neng"
"可以","kěyǐ","","1","can","may, possible, able to, not bad, pretty good"
"上課","shàngkè","","1","to go to class","to attend class, to go to teach a class"
"知道","zhīdào","","1","to know","to become aware of, also pr. [zhi1 dao5]"
"電視","diànshì","","1","television","TV, CL:臺|台[tai2],個|个[ge4]"
"水","shuǐ","","1","water","river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes, surname Shui"
